aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,val_acc
shear,0.929,add-to-hue-and-saturation,0.619,0.946,0.35866666666666663
additive-gaussian-noise,0.897,dropout,0.667,0.364,0.3573333333333333
emboss,0.807,dropout,0.7809999999999999,0.983,0.357
additive-gaussian-noise,0.302,coarse-dropout,0.612,0.752,0.35177777777777774
additive-gaussian-noise,0.895,add-to-hue-and-saturation,0.516,0.9590000000000001,0.3516666666666667
rotate,0.941,add-to-hue-and-saturation,0.589,0.9540000000000001,0.3506666666666667
additive-gaussian-noise,0.805,rotate,0.89,0.473,0.3481111111111111
shear,0.684,dropout,0.742,0.885,0.3453333333333334
additive-gaussian-noise,0.8390000000000001,brighten,0.14300000000000002,0.895,0.3445555555555556
additive-gaussian-noise,0.784,crop,0.868,0.066,0.3413333333333333
sharpen,0.968,dropout,0.45899999999999996,0.20600000000000002,0.34099999999999997
additive-gaussian-noise,0.8859999999999999,clouds,0.569,0.847,0.3406666666666667
additive-gaussian-noise,0.7909999999999999,gamma-contrast,0.851,0.84,0.34022222222222226
additive-gaussian-noise,0.8009999999999999,shear,0.5760000000000001,0.598,0.33944444444444444
additive-gaussian-noise,0.795,gaussian-blur,0.88,0.6709999999999999,0.33855555555555555
additive-gaussian-noise,0.875,vertical-flip,0.47100000000000003,0.96,0.33766666666666667
add-to-hue-and-saturation,0.833,dropout,0.7490000000000001,0.899,0.3364444444444445
brighten,0.7190000000000001,dropout,0.98,0.996,0.3361111111111111
additive-gaussian-noise,0.873,emboss,0.41,0.976,0.33588888888888885
additive-gaussian-noise,0.7020000000000001,translate-x,0.9490000000000001,0.907,0.33511111111111114
