acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,reward,epoch,acc_overfit,total_acc_overfit
0.11599999999999999,2.315,0.166,2.2880000000000003,186,gamma-contrast,0.981,sharpen,0.619,clouds,0.598,0.93,1,0.535,0.0,-0.05000000000000002,0.5200000000000005
0.131,2.292,0.107,2.273,34,emboss,0.986,clouds,0.583,sharpen,0.513,0.981,1,0.529,0.0,0.024000000000000007,2.689999999999998
0.121,2.347,0.163,2.293,405,gamma-contrast,0.47,gamma-contrast,0.7,translate-x,0.37200000000000005,0.972,1,0.526,0.0,-0.04200000000000001,1.037
0.133,2.289,0.15,2.2319999999999998,22,crop,0.99,coarse-dropout,0.248,clouds,0.708,0.633,1,0.524,0.0,-0.016999999999999987,1.0700000000000003
0.141,2.282,0.115,2.313,21,sharpen,0.972,coarse-dropout,0.19699999999999998,clouds,0.76,0.865,1,0.523,0.0,0.02599999999999998,5.12
0.128,2.294,0.165,2.198,55,coarse-dropout,0.977,fog,0.5820000000000001,sharpen,0.027999999999999997,0.963,1,0.522,0.0,-0.037000000000000005,0.26599999999999985
0.14400000000000002,2.256,0.163,2.168,92,dropout,0.9790000000000001,emboss,0.612,dropout,0.09699999999999999,0.982,1,0.521,0.0,-0.01899999999999999,5.721999999999996
0.14400000000000002,2.2769999999999997,0.21100000000000002,2.1919999999999997,13,emboss,0.331,coarse-dropout,0.9159999999999999,rotate,0.8809999999999999,0.695,1,0.521,0.0,-0.067,0.2370000000000002
0.16399999999999998,2.242,0.226,2.08,27,dropout,0.391,shear,0.449,brighten,0.956,0.9790000000000001,1,0.52,0.0,-0.06200000000000003,6.073999999999999
0.132,2.294,0.151,2.197,79,clouds,0.977,emboss,0.7190000000000001,clouds,0.722,0.966,1,0.52,0.0,-0.01899999999999999,0.2139999999999998
