acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,sample_no,reward,epoch,acc_overfit
0.12,2.3080000000000003,0.14400000000000002,2.301,366,crop,0.764,emboss,0.006,0.76,1,0.5,0.0,-0.02400000000000002
0.10300000000000001,2.319,0.102,2.302,393,gamma-contrast,0.0,add-to-hue-and-saturation,0.8270000000000001,0.902,1,0.5,0.0,0.0010000000000000148
0.11199999999999999,2.31,0.124,2.2969999999999997,161,crop,0.97,add-to-hue-and-saturation,0.904,0.639,1,0.49700000000000005,0.0,-0.01200000000000001
0.11900000000000001,2.312,0.134,2.301,263,crop,0.902,gaussian-blur,0.858,0.831,1,0.49700000000000005,0.0,-0.015
0.11800000000000001,2.3040000000000003,0.13699999999999998,2.291,182,crop,0.91,gaussian-blur,0.963,0.903,1,0.496,0.0,-0.018999999999999975
0.113,2.32,0.11800000000000001,2.303,243,gamma-contrast,0.14400000000000002,rotate,0.861,0.713,1,0.495,0.0,-0.0050000000000000044
0.109,2.307,0.114,2.295,178,crop,0.815,crop,0.961,0.764,1,0.49200000000000005,0.0,-0.0050000000000000044
0.113,2.307,0.099,2.296,259,crop,0.982,gamma-contrast,0.856,0.993,1,0.49200000000000005,0.0,0.013999999999999999
0.111,2.311,0.151,2.299,171,crop,0.904,clouds,0.9059999999999999,0.7809999999999999,1,0.491,0.0,-0.039999999999999994
0.106,2.307,0.096,2.301,221,gamma-contrast,0.005,invert,0.35700000000000004,0.992,1,0.49,0.0,0.009999999999999995
0.11199999999999999,2.305,0.08900000000000001,2.301,280,crop,0.813,clouds,0.986,0.7929999999999999,1,0.488,0.0,0.02299999999999998
0.109,2.315,0.153,2.299,74,gamma-contrast,0.008,fog,0.25,0.528,1,0.488,0.0,-0.044
0.109,2.315,0.121,2.3,325,add-to-hue-and-saturation,0.465,gaussian-blur,0.133,0.9620000000000001,1,0.48700000000000004,0.0,-0.011999999999999997
0.105,2.322,0.115,2.302,268,crop,0.816,gamma-contrast,0.016,0.7809999999999999,1,0.48700000000000004,0.0,-0.010000000000000009
0.10400000000000001,2.3169999999999997,0.14800000000000002,2.302,91,gamma-contrast,0.062,additive-gaussian-noise,0.877,0.898,1,0.486,0.0,-0.04400000000000001
0.11,2.3080000000000003,0.113,2.298,256,crop,0.903,brighten,0.545,0.596,1,0.486,0.0,-0.0030000000000000027
0.109,2.319,0.10099999999999999,2.3040000000000003,109,gamma-contrast,0.002,brighten,0.612,0.938,1,0.485,0.0,0.008000000000000007
0.11699999999999999,2.313,0.09699999999999999,2.302,57,gamma-contrast,0.013000000000000001,rotate,0.7440000000000001,0.43,1,0.485,0.0,0.020000000000000004
0.094,2.316,0.105,2.3,283,crop,0.888,invert,0.022000000000000002,0.805,1,0.484,0.0,-0.010999999999999996
0.11699999999999999,2.31,0.08900000000000001,2.301,311,add-to-hue-and-saturation,0.136,gaussian-blur,0.965,0.838,1,0.484,0.0,0.027999999999999983
