acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,sample_no,reward,epoch,acc_overfit
0.11699999999999999,2.291,0.23199999999999998,2.242,1087,horizontal-flip,0.903,gamma-contrast,0.87,0.929,1,0.573,0.0,-0.11499999999999999
0.10800000000000001,2.302,0.15,2.299,60,crop,0.897,invert,0.024,0.619,1,0.564,0.0,-0.04199999999999998
0.105,2.302,0.156,2.279,500,translate-x,0.33399999999999996,fog,0.462,0.462,1,0.561,0.0,-0.051000000000000004
0.128,2.278,0.11,2.272,62,crop,0.8809999999999999,emboss,0.06,0.498,1,0.5589999999999999,0.0,0.018000000000000002
0.106,2.296,0.15,2.254,370,add-to-hue-and-saturation,0.478,shear,0.195,0.9,1,0.5579999999999999,0.0,-0.044
0.111,2.298,0.184,2.272,1008,vertical-flip,0.654,shear,0.207,0.9159999999999999,1,0.5579999999999999,0.0,-0.073
0.115,2.296,0.21100000000000002,2.265,670,horizontal-flip,0.33399999999999996,crop,0.299,0.44,1,0.5579999999999999,0.0,-0.09600000000000002
0.11800000000000001,2.299,0.185,2.266,331,add-to-hue-and-saturation,0.157,coarse-dropout,0.201,0.986,1,0.5539999999999999,0.0,-0.06699999999999999
0.133,2.2680000000000002,0.205,2.1790000000000003,51,crop,0.858,translate-x,0.262,1.0,1,0.551,0.0,-0.07199999999999998
0.11599999999999999,2.291,0.17600000000000002,2.252,156,add-to-hue-and-saturation,0.047,vertical-flip,0.212,0.785,1,0.551,0.0,-0.060000000000000026
0.105,2.301,0.10800000000000001,2.306,270,rotate,0.7190000000000001,fog,0.028999999999999998,0.512,1,0.551,0.0,-0.0030000000000000165
0.135,2.266,0.183,2.162,224,brighten,0.342,gaussian-blur,0.966,0.664,1,0.55,0.0,-0.04799999999999999
0.124,2.276,0.187,2.16,541,horizontal-flip,0.48700000000000004,shear,0.34,0.983,1,0.5479999999999999,0.0,-0.063
0.125,2.278,0.255,2.168,342,crop,0.9520000000000001,shear,0.48700000000000004,0.9520000000000001,1,0.547,0.0,-0.13
0.11599999999999999,2.299,0.18899999999999997,2.234,161,add-to-hue-and-saturation,0.358,fog,0.196,0.9690000000000001,1,0.547,0.0,-0.07299999999999998
0.115,2.301,0.11199999999999999,2.2680000000000002,288,clouds,0.688,fog,0.001,0.536,1,0.546,0.0,0.0030000000000000165
0.113,2.294,0.175,2.273,163,add-to-hue-and-saturation,0.032,clouds,0.9309999999999999,0.767,1,0.546,0.0,-0.061999999999999986
0.11699999999999999,2.2969999999999997,0.182,2.262,372,rotate,0.335,dropout,0.121,0.49700000000000005,1,0.545,0.0,-0.065
0.122,2.286,0.124,2.294,61,crop,0.8959999999999999,brighten,0.5720000000000001,0.511,1,0.545,0.0,-0.0020000000000000018
0.111,2.302,0.182,2.269,644,translate-x,0.319,translate-y,0.28600000000000003,0.428,1,0.545,0.0,-0.071
