acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc
0.097,2.312,0.14,2.299,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.131,2.291,0.177,2.279,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.163,2.255,0.19,2.242,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.184,2.214,0.134,2.272,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.189,2.174,0.234,2.115,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.197,2.147,0.221,2.067,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.197,2.111,0.22,2.046,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.205,2.077,0.259,1.922,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.208,2.068,0.137,2.287,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.223,2.047,0.278,1.926,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.226,2.037,0.129,2.331,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.237,2.008,0.206,2.046,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.234,2.007,0.289,1.888,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.243,1.994,0.131,2.358,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.247,1.976,0.108,2.998,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.252,1.985,0.277,1.853,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.264,1.936,0.265,1.854,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.265,1.931,0.268,1.833,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.268,1.915,0.21,2.074,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.264,1.919,0.308,1.831,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.291,1.904,0.303,1.814,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.277,1.898,0.236,1.989,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.282,1.887,0.331,1.818,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.291,1.876,0.276,1.964,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.296,1.864,0.244,2.119,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.302,1.838,0.225,2.184,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.308,1.856,0.331,1.759,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.312,1.841,0.321,1.767,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.319,1.815,0.288,1.896,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.322,1.821,0.372,1.688,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.321,1.817,0.304,1.847,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
0.319,1.805,0.338,1.803,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.436
