acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc,epoch
0.112,2.306,0.13,2.294,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,1
0.152,2.27,0.24,2.211,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,2
0.201,2.187,0.328,1.961,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,3
0.245,2.084,0.273,1.987,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,4
0.262,1.994,0.385,1.758,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,5
0.281,1.987,0.364,1.788,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,6
0.288,1.921,0.268,2.057,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,7
0.319,1.879,0.337,1.854,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,8
0.325,1.827,0.386,1.821,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,9
0.348,1.793,0.425,1.653,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,10
0.359,1.746,0.362,1.775,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,11
0.392,1.713,0.383,1.739,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,12
0.398,1.676,0.44,1.593,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,13
0.424,1.614,0.43,1.54,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,14
0.441,1.57,0.417,1.65,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,15
0.434,1.554,0.442,1.564,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,16
0.45,1.542,0.414,1.71,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,17
0.47,1.485,0.407,1.662,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,18
0.466,1.475,0.459,1.54,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,19
0.483,1.455,0.463,1.542,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,20
0.492,1.424,0.412,1.656,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,21
0.519,1.369,0.478,1.515,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,22
0.528,1.353,0.467,1.491,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,23
0.543,1.304,0.471,1.504,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,24
0.535,1.294,0.477,1.511,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,25
0.548,1.282,0.473,1.55,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,26
0.549,1.247,0.488,1.529,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,27
0.564,1.229,0.483,1.578,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,28
0.571,1.205,0.482,1.496,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,29
0.582,1.158,0.462,1.643,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,30
0.606,1.123,0.493,1.52,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,31
0.602,1.117,0.508,1.518,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,32
0.605,1.115,0.505,1.436,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,33
0.611,1.076,0.508,1.47,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,34
0.625,1.04,0.477,1.526,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,35
0.623,1.052,0.485,1.565,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,36
0.641,1.003,0.499,1.589,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,37
0.639,1.006,0.526,1.451,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,38
0.652,0.984,0.483,1.542,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,39
0.663,0.953,0.492,1.601,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,40
0.676,0.92,0.499,1.597,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,41
0.676,0.926,0.488,1.666,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,42
0.684,0.893,0.492,1.558,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,43
0.687,0.884,0.509,1.526,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,44
0.7,0.833,0.522,1.501,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,45
0.701,0.846,0.508,1.53,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,46
0.701,0.845,0.521,1.535,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,47
0.694,0.85,0.523,1.566,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,48
0.72,0.819,0.5,1.601,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,49
0.731,0.77,0.49,1.617,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.467,50
0.106,2.315,0.114,2.298,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,1
0.136,2.276,0.204,2.162,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,2
0.205,2.18,0.184,2.183,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,3
0.258,2.076,0.322,1.897,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,4
0.256,2.032,0.313,1.934,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,5
0.274,1.973,0.334,1.786,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,6
0.294,1.929,0.365,1.76,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,7
0.317,1.876,0.385,1.728,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,8
0.336,1.823,0.392,1.721,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,9
0.338,1.817,0.396,1.685,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,10
0.371,1.749,0.405,1.677,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,11
0.379,1.713,0.402,1.633,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,12
0.416,1.65,0.427,1.568,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,13
0.41,1.644,0.417,1.568,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,14
0.42,1.587,0.455,1.531,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,15
0.436,1.563,0.451,1.521,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,16
0.447,1.557,0.464,1.5,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,17
0.456,1.509,0.421,1.57,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,18
0.472,1.468,0.458,1.511,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,19
0.492,1.446,0.45,1.535,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,20
0.491,1.448,0.43,1.666,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,21
0.483,1.414,0.471,1.543,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,22
0.522,1.356,0.458,1.573,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,23
0.53,1.335,0.485,1.469,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,24
0.539,1.293,0.441,1.669,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,25
0.533,1.301,0.482,1.456,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,26
0.553,1.261,0.49,1.502,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,27
0.556,1.242,0.459,1.548,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,28
0.563,1.264,0.505,1.425,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,29
0.576,1.212,0.502,1.458,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,30
0.575,1.189,0.474,1.467,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,31
0.59,1.135,0.521,1.407,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,32
0.601,1.121,0.439,1.732,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,33
0.61,1.109,0.519,1.411,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,34
0.608,1.104,0.51,1.496,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,35
0.612,1.089,0.515,1.436,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,36
0.634,1.042,0.53,1.429,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,37
0.635,1.041,0.514,1.469,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,38
0.65,0.99,0.502,1.525,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,39
0.65,1.009,0.513,1.538,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,40
0.65,0.977,0.527,1.496,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,41
0.65,1.002,0.527,1.544,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,42
0.655,0.961,0.537,1.433,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,43
0.672,0.94,0.525,1.44,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,44
0.678,0.896,0.536,1.462,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,45
0.672,0.902,0.508,1.489,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,46
0.678,0.874,0.512,1.492,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,47
0.687,0.89,0.526,1.452,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,48
0.698,0.86,0.504,1.587,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,49
0.696,0.855,0.513,1.561,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,2,0.473,50
0.101,2.317,0.105,2.291,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,1
0.132,2.286,0.202,2.261,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,2
0.182,2.219,0.292,2.046,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,3
0.234,2.098,0.336,1.873,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,4
0.257,2.045,0.268,1.995,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,5
0.289,1.966,0.292,1.879,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,6
0.297,1.932,0.308,1.952,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,7
0.318,1.904,0.373,1.811,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,8
0.323,1.838,0.304,2.085,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,9
0.345,1.822,0.363,1.738,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,10
0.377,1.738,0.373,1.745,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,11
0.384,1.721,0.343,1.857,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,12
0.393,1.669,0.393,1.701,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,13
0.408,1.668,0.442,1.582,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,14
0.434,1.596,0.443,1.599,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,15
0.44,1.571,0.431,1.569,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,16
0.451,1.547,0.389,1.748,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,17
0.455,1.538,0.462,1.508,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,18
0.454,1.503,0.453,1.558,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,19
0.482,1.44,0.433,1.59,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,20
0.498,1.428,0.473,1.478,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,21
0.499,1.391,0.463,1.482,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,22
0.513,1.383,0.439,1.64,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,23
0.524,1.364,0.472,1.499,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,24
0.537,1.308,0.447,1.566,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,25
0.546,1.294,0.464,1.565,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,26
0.561,1.254,0.458,1.56,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,27
0.56,1.238,0.489,1.473,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,28
0.574,1.232,0.48,1.499,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,29
0.575,1.186,0.48,1.481,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,30
0.582,1.143,0.507,1.436,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,31
0.605,1.129,0.504,1.516,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,32
0.597,1.138,0.489,1.572,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,33
0.626,1.067,0.465,1.539,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,34
0.612,1.11,0.492,1.536,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,35
0.628,1.048,0.52,1.449,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,36
0.631,1.058,0.496,1.507,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,37
0.653,0.974,0.507,1.481,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,38
0.649,0.987,0.509,1.478,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,39
0.666,0.964,0.531,1.428,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,40
0.668,0.926,0.514,1.455,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,41
0.68,0.924,0.507,1.518,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,42
0.677,0.92,0.489,1.558,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,43
0.691,0.865,0.452,1.747,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,44
0.684,0.871,0.524,1.574,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,45
0.708,0.846,0.505,1.537,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,46
0.717,0.832,0.525,1.544,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,47
0.719,0.826,0.533,1.476,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,48
0.732,0.772,0.521,1.562,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,49
0.718,0.785,0.531,1.555,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,3,0.466,50
0.124,2.291,0.216,2.217,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,1
0.197,2.144,0.273,1.978,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,2
0.252,2.036,0.309,1.942,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,3
0.299,1.946,0.236,2.169,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,4
0.319,1.899,0.227,2.283,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,5
0.332,1.848,0.356,1.836,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,6
0.357,1.775,0.351,1.79,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,7
0.38,1.736,0.422,1.615,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,8
0.391,1.697,0.423,1.643,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,9
0.412,1.651,0.396,1.691,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,10
0.419,1.612,0.454,1.542,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,11
0.421,1.605,0.426,1.624,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,12
0.44,1.551,0.45,1.501,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,13
0.458,1.512,0.389,1.737,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,14
0.471,1.491,0.469,1.507,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,15
0.487,1.448,0.428,1.576,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,16
0.491,1.432,0.451,1.493,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,17
0.496,1.407,0.453,1.508,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,18
0.517,1.373,0.425,1.789,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,19
0.528,1.346,0.477,1.43,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,20
0.523,1.342,0.442,1.502,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,21
0.54,1.315,0.487,1.466,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,22
0.552,1.286,0.487,1.534,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,23
0.56,1.256,0.49,1.502,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,24
0.555,1.241,0.469,1.517,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,25
0.574,1.203,0.487,1.45,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,26
0.58,1.185,0.485,1.51,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,27
0.594,1.189,0.477,1.559,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,28
0.607,1.145,0.509,1.373,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,29
0.599,1.129,0.461,1.643,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,30
0.597,1.143,0.496,1.465,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,31
0.611,1.11,0.485,1.548,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,32
0.62,1.093,0.504,1.42,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,33
0.632,1.063,0.514,1.398,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,34
0.626,1.056,0.509,1.446,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,35
0.63,1.045,0.533,1.442,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,36
0.649,1.02,0.402,2.093,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,37
0.653,1.006,0.476,1.599,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,38
0.649,1.001,0.473,1.563,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,39
0.66,0.96,0.502,1.695,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,40
0.65,0.98,0.5,1.54,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,41
0.672,0.939,0.526,1.549,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,42
0.672,0.923,0.522,1.434,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,43
0.676,0.907,0.525,1.494,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.459,44
