acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,sample_no,mean_late_val_acc,epoch
0.198,2.148,0.227,2.118,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.301,1
0.315,1.905,0.375,1.719,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.301,2
0.206,2.163,0.186,2.198,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.263,1
0.302,1.934,0.34,1.825,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.263,2
0.208,2.167,0.274,1.993,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.322,1
0.308,1.922,0.369,1.771,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.322,2
0.179,2.203,0.24,2.091,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.302,1
0.266,2.008,0.363,1.782,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.302,2
0.186,2.199,0.208,2.104,2,emboss,0.298,gaussian-blur,0.273,0.478,2,0.265,1
0.285,1.978,0.322,1.934,2,emboss,0.298,gaussian-blur,0.273,0.478,2,0.265,2
0.184,2.196,0.276,2.01,2,emboss,0.298,gaussian-blur,0.273,0.478,3,0.313,1
0.276,1.981,0.349,1.845,2,emboss,0.298,gaussian-blur,0.273,0.478,3,0.313,2
