acc,loss,val_acc,val_loss,params_0,params_1,sample
0.124,2.276,0.179,2.225,2,0.9133014457224451,a
0.221,2.113,0.274,2.048,2,0.9133014457224451,a
0.256,2.017,0.278,2.0,2,0.9133014457224451,a
0.278,1.961,0.28,1.963,2,0.9133014457224451,a
0.298,1.917,0.331,1.882,2,0.9133014457224451,a
0.34,1.839,0.339,1.829,2,0.9133014457224451,a
0.365,1.773,0.356,1.766,2,0.9133014457224451,a
0.362,1.731,0.363,1.775,2,0.9133014457224451,a
0.387,1.687,0.378,1.703,2,0.9133014457224451,a
0.396,1.665,0.378,1.727,2,0.9133014457224451,a
0.411,1.633,0.371,1.741,2,0.9133014457224451,a
0.422,1.6,0.392,1.707,2,0.9133014457224451,a
0.435,1.563,0.406,1.652,2,0.9133014457224451,a
0.438,1.543,0.415,1.612,2,0.9133014457224451,a
0.451,1.52,0.423,1.602,2,0.9133014457224451,a
0.127,2.288,0.183,2.257,2,0.9133014457224451,b
0.2,2.159,0.271,2.079,2,0.9133014457224451,b
0.26,2.032,0.293,2.005,2,0.9133014457224451,b
0.273,1.962,0.321,1.946,2,0.9133014457224451,b
0.304,1.927,0.327,1.907,2,0.9133014457224451,b
0.324,1.864,0.316,1.872,2,0.9133014457224451,b
0.354,1.813,0.357,1.817,2,0.9133014457224451,b
0.374,1.762,0.362,1.773,2,0.9133014457224451,b
0.387,1.727,0.331,1.835,2,0.9133014457224451,b
0.392,1.689,0.405,1.725,2,0.9133014457224451,b
0.403,1.66,0.383,1.705,2,0.9133014457224451,b
0.411,1.64,0.402,1.684,2,0.9133014457224451,b
0.422,1.603,0.394,1.686,2,0.9133014457224451,b
0.429,1.58,0.418,1.635,2,0.9133014457224451,b
0.444,1.55,0.413,1.652,2,0.9133014457224451,b
0.156,2.263,0.203,2.188,2,0.9133014457224451,c
0.231,2.08,0.259,2.014,2,0.9133014457224451,c
0.28,1.975,0.333,1.904,2,0.9133014457224451,c
0.319,1.887,0.328,1.853,2,0.9133014457224451,c
0.343,1.817,0.332,1.875,2,0.9133014457224451,c
0.357,1.784,0.367,1.758,2,0.9133014457224451,c
0.373,1.742,0.372,1.746,2,0.9133014457224451,c
0.394,1.709,0.4,1.7,2,0.9133014457224451,c
0.384,1.683,0.393,1.738,2,0.9133014457224451,c
0.418,1.643,0.417,1.679,2,0.9133014457224451,c
0.42,1.621,0.404,1.666,2,0.9133014457224451,c
0.438,1.577,0.39,1.682,2,0.9133014457224451,c
0.427,1.587,0.42,1.637,2,0.9133014457224451,c
0.443,1.545,0.41,1.627,2,0.9133014457224451,c
0.451,1.523,0.408,1.638,2,0.9133014457224451,c
0.13,2.284,0.203,2.24,2,0.9133014457224451,d
0.189,2.145,0.264,2.04,2,0.9133014457224451,d
0.265,1.984,0.31,1.922,2,0.9133014457224451,d
0.309,1.886,0.357,1.842,2,0.9133014457224451,d
0.338,1.825,0.378,1.797,2,0.9133014457224451,d
0.354,1.765,0.396,1.744,2,0.9133014457224451,d
0.387,1.732,0.386,1.701,2,0.9133014457224451,d
0.394,1.672,0.402,1.682,2,0.9133014457224451,d
0.399,1.641,0.397,1.671,2,0.9133014457224451,d
0.425,1.621,0.399,1.644,2,0.9133014457224451,d
0.425,1.592,0.409,1.63,2,0.9133014457224451,d
0.439,1.559,0.417,1.625,2,0.9133014457224451,d
0.436,1.53,0.406,1.606,2,0.9133014457224451,d
0.453,1.502,0.422,1.574,2,0.9133014457224451,d
0.469,1.466,0.418,1.555,2,0.9133014457224451,d
0.135,2.279,0.211,2.25,2,0.9133014457224451,e
0.217,2.139,0.274,2.074,2,0.9133014457224451,e
0.253,2.018,0.276,1.998,2,0.9133014457224451,e
0.266,1.962,0.276,1.961,2,0.9133014457224451,e
0.309,1.897,0.316,1.896,2,0.9133014457224451,e
0.333,1.845,0.348,1.876,2,0.9133014457224451,e
0.358,1.791,0.37,1.778,2,0.9133014457224451,e
0.376,1.745,0.372,1.757,2,0.9133014457224451,e
0.386,1.71,0.373,1.72,2,0.9133014457224451,e
0.386,1.679,0.386,1.696,2,0.9133014457224451,e
0.404,1.633,0.39,1.674,2,0.9133014457224451,e
0.409,1.611,0.407,1.655,2,0.9133014457224451,e
0.426,1.581,0.396,1.649,2,0.9133014457224451,e
0.43,1.558,0.396,1.627,2,0.9133014457224451,e
0.447,1.524,0.408,1.614,2,0.9133014457224451,e
