acc,loss,val_acc,val_loss,trial_no,aug_type,magnitude,sample_no,mean_late_val_acc
0.112,2.3002145957946776,0.147,2.2823958702087404,0,-,-,1,
0.1515,2.251390739440918,0.242,2.2015880794525144,0,-,-,1,
0.2055,2.128452772140503,0.263,2.045546564102173,0,-,-,1,
0.2415,2.0503460426330564,0.291,1.9862010583877563,0,-,-,1,
0.288,1.9808408298492433,0.322,1.9142823276519776,0,-,-,1,
0.306,1.9151704349517822,0.349,1.839810052871704,0,-,-,1,
0.322,1.8496106758117676,0.371,1.791197006225586,0,-,-,1,
0.354,1.7972582473754883,0.372,1.7578594617843628,0,-,-,1,
0.3615,1.7652587575912475,0.376,1.7628789720535278,0,-,-,1,
0.3725,1.725554708480835,0.392,1.6995640411376953,0,-,-,1,
0.384,1.7044874277114868,0.383,1.6803321475982667,0,-,-,1,
0.4005,1.6812993450164795,0.4,1.6589667224884033,0,-,-,1,
0.403,1.6551033306121825,0.386,1.6505280990600586,0,-,-,1,
0.4145,1.6353017749786376,0.415,1.6159148082733155,0,-,-,1,
0.412,1.6163105440139771,0.41,1.6103875637054443,0,-,-,1,
0.435,1.5721247119903565,0.429,1.5935410041809082,0,-,-,1,
0.4275,1.5649501056671142,0.422,1.5881284465789796,0,-,-,1,
0.446,1.5512920875549316,0.421,1.5648124542236328,0,-,-,1,
0.457,1.5238856620788575,0.428,1.5547472028732299,0,-,-,1,
0.463,1.4927260866165162,0.422,1.5405807542800902,0,-,-,1,
0.4725,1.4704868192672729,0.434,1.511117325782776,0,-,-,1,
0.477,1.444193567276001,0.43,1.5290330791473388,0,-,-,1,
0.468,1.4465011215209962,0.444,1.5290929832458495,0,-,-,1,
0.487,1.4207104654312135,0.447,1.4750479488372803,0,-,-,1,
0.4995,1.3812693567276002,0.448,1.4742193927764893,0,-,-,1,
0.492,1.3784966144561768,0.461,1.4618432092666627,0,-,-,1,
0.51,1.35542426776886,0.453,1.4649232940673829,0,-,-,1,
0.532,1.3162378892898559,0.461,1.4467292900085449,0,-,-,1,
0.5355,1.3036975269317628,0.445,1.481915186882019,0,-,-,1,
0.533,1.2993066205978394,0.464,1.4606216526031495,0,-,-,1,
0.528,1.2916913814544677,0.467,1.4532179479599,0,-,-,1,
0.559,1.2452327346801757,0.469,1.4527303733825683,0,-,-,1,
0.5575,1.2330084018707275,0.465,1.4635529289245606,0,-,-,1,
0.5625,1.224793625831604,0.465,1.4473288860321045,0,-,-,1,
0.5675,1.1943990755081177,0.457,1.4538864526748658,0,-,-,1,
0.596,1.1707917823791505,0.484,1.4222422714233398,0,-,-,1,
