epoch,acc,loss,val_acc,val_loss
0,0.41421999996185305,1.9929600106048584,0.5081,1.4194130798339843
1,0.6277000000190734,1.124159277935028,0.462,1.6209219993591308
2,0.711680000038147,0.8907639358520508,0.6712,0.9407350182533264
3,0.7756799999809265,0.6874935684394836,0.6526,1.1330167659759522
4,0.818619999961853,0.564209037399292,0.7644,0.7901014547348022
5,0.847599999961853,0.4994489309501648,0.7182,1.0224780591964722
6,0.8762199999809265,0.39380601341247556,0.7393,0.994946656036377
7,0.895600000038147,0.3269770954322815,0.7876,0.6406163921356202
8,0.9151200000190735,0.2502690068435669,0.5576,2.418477643966675
9,0.93334,0.1942923738670349,0.7335,1.1414585587501527
10,0.9467200000190735,0.15471279500961305,0.6639,1.7675390075683595
11,0.957,0.12582583627939226,0.831,0.6381441944122315
12,0.9674400000190735,0.0959020736348629,0.7913,0.8345503374099732
13,0.9716599999809266,0.08419299666404724,0.829,0.7337416288852692
14,0.975940000038147,0.06943639229416847,0.7148,1.4751904180526734
15,0.97644,0.06649287301898002,0.7713,1.3676486503601075
16,0.9797,0.05922032625257969,0.6984,1.8887111923217774
17,0.9813600000190735,0.055322797018289564,0.8214,0.7992470766067505
18,0.9829,0.049705458275079724,0.8249,0.7605753186225891
19,0.98332,0.04996352928847075,0.8436,0.639023862361908
20,0.984760000038147,0.04423809653043747,0.7888,1.2863576076507568
21,0.986360000038147,0.039396335837244986,0.7862,1.3899049911499024
22,0.9866000000190734,0.03863807348370552,0.7696,1.3580481435775758
23,0.9878799999809265,0.03592939765691757,0.7228,1.8622712633132934
24,0.98728,0.03861756077468395,0.8076,1.1003880073547363
25,0.988420000038147,0.03413257490247488,0.8135,1.1101645343780517
26,0.9895400000190735,0.03255479230895639,0.792,1.2524331756591798
27,0.99008,0.029047039647325874,0.8006,1.3970654109954834
28,0.98978,0.029181186800673605,0.7073,2.1284096527099607
29,0.9905800000190735,0.03023189897917211,0.8231,1.1462851470947266
30,0.9911200000190735,0.026024318815991283,0.8101,1.238178330230713
31,0.99104,0.027733288466194644,0.8101,1.333897165298462
32,0.989580000038147,0.0308912919421494,0.7586,1.793524535369873
33,0.99258,0.023070921013429762,0.841,0.9207910316467285
34,0.9914400000190735,0.02767721734203398,0.8239,1.0707591846466065
35,0.9920000000190735,0.025097351473122836,0.8447,0.9495211448669434
36,0.99264,0.02113798953147605,0.8061,1.239377631378174
37,0.9927600000190735,0.020993349929284304,0.8301,1.1192371059417725
38,0.991860000038147,0.024878676290251315,0.7423,2.1222963605880736
39,0.9930200000190735,0.023306390135660767,0.8455,0.8910707950592041
40,0.9931400000190734,0.021151577320471408,0.8464,0.906067882156372
41,0.9941200000381469,0.01847175283288583,0.8102,1.1458958255767822
42,0.99298,0.0229511716886051,0.772,1.5828257264137269
43,0.9935800000190735,0.01877948390584439,0.7665,1.8398166709899901
44,0.9942,0.017679143300349823,0.8188,1.3108996694564818
45,0.99448,0.01743864697858691,0.759,1.8508757968902587
46,0.99286,0.022491917653679847,0.8591,0.8897069194793701
47,0.99514,0.015601717369491234,0.845,0.9549510259628295
48,0.993060000038147,0.02191646546287462,0.7802,1.7615510841369628
49,0.99278,0.023014656858460512,0.8282,1.0711131340026856
50,0.99554,0.013826042076628655,0.8364,1.1034795188903808
51,0.9946200000190735,0.016004247508225964,0.8126,1.229110976791382
52,0.99442,0.017218797027356923,0.8446,0.9330979034423829
53,0.9952200000190735,0.01522229729808867,0.8171,1.3749039974212647
54,0.99514,0.01567619103086181,0.8625,0.8871247346878052
55,0.99482,0.0168043248255644,0.8288,1.095155103302002
56,0.99574,0.013582181675401516,0.8521,0.9349355485916138
57,0.9953200000190735,0.015095918524079025,0.846,1.0314445671081542
58,0.9949400000190735,0.01756126621512696,0.8261,1.2532066047668458
59,0.99476,0.016302308808737436,0.7964,1.5352976112365722
60,0.9956000000190735,0.013738711701100692,0.8546,0.9416871032714844
61,0.99656,0.010477055302048103,0.8631,0.8905697898864746
62,0.9957000000190734,0.013621938900474924,0.8266,1.1988627096176148
63,0.9947600000190735,0.016238997462140397,0.8048,1.6533702068328857
64,0.994060000038147,0.01926913714006543,0.8135,1.2719035259246827
65,0.99526,0.01568464791310951,0.8125,1.2438729049682618
66,0.996,0.011946788806435652,0.8626,0.9085125358581543
67,0.9950600000190735,0.014950017579249106,0.851,0.9884860736846924
68,0.9956200000190735,0.013812445846437477,0.8438,1.1484804470062255
